year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,perc
2020,Illinois,IL,Douglas,17041,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6227,8738,20210622,TOTAL,0.7126344701304647
2020,Illinois,IL,Dupage,17043,PRESIDENT,DONALD J TRUMP,REPUBLICAN,193611,485104,20210622,TOTAL,0.3991123552887628
2020,Illinois,IL,Edgar,17045,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6193,8196,20210622,TOTAL,0.7556124938994632
2020,Illinois,IL,Edwards,17047,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2833,3366,20210622,TOTAL,0.8416518122400475
2020,Illinois,IL,Effingham,17049,PRESIDENT,DONALD J TRUMP,REPUBLICAN,15006,19049,20210622,TOTAL,0.7877578875531523
2020,Illinois,IL,Fayette,17051,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8055,10056,20210622,TOTAL,0.8010143198090692
2020,Illinois,IL,Ford,17053,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5048,6953,20210622,TOTAL,0.7260175463828563
2020,Illinois,IL,Franklin,17055,PRESIDENT,DONALD J TRUMP,REPUBLICAN,13622,18626,20210622,TOTAL,0.7313432835820896
2020,Illinois,IL,Fulton,17057,PRESIDENT,DONALD J TRUMP,REPUBLICAN,9867,16678,20210622,TOTAL,0.5916176999640245
2020,Illinois,IL,Gallatin,17059,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2019,2674,20210622,TOTAL,0.7550486163051608
2020,Illinois,IL,Greene,17061,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4770,6227,20210622,TOTAL,0.7660189497350249
2020,Illinois,IL,Grundy,17063,PRESIDENT,DONALD J TRUMP,REPUBLICAN,16523,26691,20210622,TOTAL,0.6190476190476191
2020,Illinois,IL,Hamilton,17065,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3432,4315,20210622,TOTAL,0.7953650057937428
2020,Illinois,IL,Hancock,17067,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6906,9383,20210622,TOTAL,0.7360119364808697
2020,Illinois,IL,Hardin,17069,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1691,2162,20210622,TOTAL,0.7821461609620721
2020,Illinois,IL,Henderson,17071,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2394,3647,20210622,TOTAL,0.6564299424184261
2020,Illinois,IL,Henry,17073,PRESIDENT,DONALD J TRUMP,REPUBLICAN,15300,25635,20210622,TOTAL,0.5968402574605032
2020,Illinois,IL,Iroquois,17075,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10877,14025,20210622,TOTAL,0.7755436720142602
2020,Illinois,IL,Jackson,17077,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10890,22643,20210622,TOTAL,0.4809433378969218
2020,Illinois,IL,Jasper,17079,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4494,5576,20210622,TOTAL,0.8059540889526542
2020,Illinois,IL,Jefferson,17081,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12476,17404,20210622,TOTAL,0.7168467019076075
2020,Illinois,IL,Jersey,17083,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8712,11937,20210622,TOTAL,0.7298316159839155
2020,Illinois,IL,Jo Daviess,17085,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7166,12496,20210622,TOTAL,0.5734635083226632
2020,Illinois,IL,Johnson,17087,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5059,6437,20210622,TOTAL,0.7859251203977008
2020,Illinois,IL,Kane,17089,PRESIDENT,DONALD J TRUMP,REPUBLICAN,96775,231876,20210622,TOTAL,0.4173566906449999
