year,state,state_po,county_name,perc,party.y,date.x,death_rate,case_rate,date.y,Completeness_pct,Administered_Dose1_Recip_18PlusPop_Pct,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct
2016,Missouri,MO,Jackson,0.5283912855287837,Republican,20-11-16,2.1957006764174666e-4,0.019783971385062153,5/31/2021,0.902,0.525,0.11,0.44299999999999995
2016,Missouri,MO,Jasper,0.7256963125439722,Republican,20-11-16,4.4390372221491515e-4,0.035175259765881886,5/31/2021,0.902,0.418,0.1,0.363
2016,Missouri,MO,Jefferson,0.6498239801201077,Republican,20-11-16,4.1493226451490446e-4,0.04117099182053738,5/31/2021,0.902,0.41600000000000004,0.02,0.344
2016,Missouri,MO,Johnson,0.6492049971607041,Republican,20-11-16,2.028809089064719e-4,0.03869492244416164,5/31/2021,0.902,0.35600000000000004,0.06,0.308
2016,Missouri,MO,Knox,0.7572192513368984,Republican,20-11-16,2.538071065989848e-4,0.026395939086294416,5/31/2021,0.902,0.39899999999999997,0.1,0.37200000000000005
2016,Missouri,MO,Laclede,0.8025045168525325,Republican,20-11-16,7.80052932163254e-4,0.042958629335562055,5/31/2021,0.902,0.32799999999999996,0.09,0.285
2016,Missouri,MO,Lafayette,0.6921138825900731,Republican,20-11-16,8.180330848936557e-4,0.037387141731806336,5/31/2021,0.902,0.439,0.06,0.389
2016,Missouri,MO,Lawrence,0.7830690996111277,Republican,20-11-16,8.382449246889326e-4,0.04238375900458415,5/31/2021,0.902,0.337,0.13,0.289
2016,Missouri,MO,Lewis,0.7504488330341114,Republican,20-11-16,2.0387359836901122e-4,0.037512742099898064,5/31/2021,0.902,0.37200000000000005,0.06,0.303
2016,Missouri,MO,Lincoln,0.727465747936864,Republican,20-11-16,1.1643573579068182e-4,0.030905371014155258,5/31/2021,0.902,0.368,0.06,0.324
2016,Missouri,MO,Linn,0.7316985860032218,Republican,20-11-16,8.453085376162299e-4,0.02147083685545224,5/31/2021,0.902,0.449,0.06,0.391
2016,Missouri,MO,Livingston,0.7598504905777916,Republican,20-11-16,6.938180808991882e-4,0.047040865884964964,5/31/2021,0.902,0.429,0.06,0.377
2016,Missouri,MO,Macon,0.7607925469098543,Republican,20-11-16,6.62471016893011e-5,0.030076184166942695,5/31/2021,0.902,0.375,0.1,0.344
2016,Missouri,MO,Madison,0.770907724112009,Republican,20-11-16,5.778915215058202e-4,0.0579542640138694,5/31/2021,0.902,0.337,0.05,0.293
2016,Missouri,MO,Maries,0.7913333333333333,Republican,20-11-16,1.1370096645821489e-4,0.03365548607163161,5/31/2021,0.902,0.335,0.1,0.303
2016,Missouri,MO,Marion,0.7280105116710466,Republican,20-11-16,5.277416177039721e-4,0.050100270907363756,5/31/2021,0.902,0.41,0.1,0.379
2016,Missouri,MO,Mercer,0.8515759312320917,Republican,20-11-16,0,0.016582349634626195,5/31/2021,0.902,0,0.06,0.318
2016,Missouri,MO,Miller,0.8133321653819201,Republican,20-11-16,8.142375247179248e-4,0.04928075685316583,5/31/2021,0.902,0.3,0.09,0.257
2016,Missouri,MO,Mississippi,0.6964596633778294,Republican,20-11-16,0.00047277598298006463,0.049089906232763374,5/31/2021,0.902,0.42200000000000004,0.14,0.36200000000000004
2016,Missouri,MO,Moniteau,0.7828696925329429,Republican,20-11-16,8.982996470965672e-4,0.06660250240615977,5/31/2021,0.902,0.33799999999999997,0.1,0.305
