year,state_name,state_po,county_name,county_fips,office,candidate,party,candidatevotes,total_votes,version,mode,perc,state,match,mask,republican,democrat,may_1_cutoff
2020,ALASKA,AK,DISTRICT 4,2004,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4690,10511,20210622,TOTAL,0.44619922,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 5,2005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4077,8654,20210622,TOTAL,0.471111625,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 6,2006,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5770,9460,20210622,TOTAL,0.609936575,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 7,2007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7027,9622,20210622,TOTAL,0.73030555,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 8,2008,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7618,9912,20210622,TOTAL,0.768563358,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 9,2009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7787,10993,20210622,TOTAL,0.708359865,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 10,2010,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8081,11205,20210622,TOTAL,0.721195895,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 11,2011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7096,10628,20210622,TOTAL,0.667670305,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 12,2012,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7893,11238,20210622,TOTAL,0.702349172,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 13,2013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4652,7713,20210622,TOTAL,0.60313756,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 14,2014,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6714,11443,20210622,TOTAL,0.586734248,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 15,2015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2671,5559,20210622,TOTAL,0.480482101,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 16,2016,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3516,8118,20210622,TOTAL,0.433111604,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 17,2017,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2810,7239,20210622,TOTAL,0.388175162,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 18,2018,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2760,7720,20210622,TOTAL,0.357512953,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 19,2019,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1975,5301,20210622,TOTAL,0.372571213,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 20,2020,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2383,7497,20210622,TOTAL,0.317860478,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 21,2021,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3690,9429,20210622,TOTAL,0.391345848,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 22,2022,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4684,9520,20210622,TOTAL,0.492016807,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 23,2023,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3655,7739,20210622,TOTAL,0.472283241,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 24,2024,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5378,10428,20210622,TOTAL,0.515726889,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 25,2025,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4407,9325,20210622,TOTAL,0.472600536,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 26,2026,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5243,10111,20210622,TOTAL,0.51854416,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 27,2027,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4324,9506,20210622,TOTAL,0.454870608,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 28,2028,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6162,12749,20210622,TOTAL,0.483332026,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 29,2029,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7464,10747,20210622,TOTAL,0.694519401,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 30,2030,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7180,10176,20210622,TOTAL,0.705581761,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 31,2031,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6971,12410,20210622,TOTAL,0.561724416,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 32,2032,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4440,8335,20210622,TOTAL,0.532693461,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 33,2033,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3059,10955,20210622,TOTAL,0.279233227,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 34,2034,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4543,10729,20210622,TOTAL,0.42343182,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 35,2035,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4769,10102,20210622,TOTAL,0.472084736,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 36,2036,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5114,9292,20210622,TOTAL,0.550365906,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 37,2037,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2358,5142,20210622,TOTAL,0.458576429,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 38,2038,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1737,5299,20210622,TOTAL,0.327797698,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 39,2039,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1939,5891,20210622,TOTAL,0.329146155,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 40,2040,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1994,4603,20210622,TOTAL,0.433195742,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 99,2099,PRESIDENT,DONALD J TRUMP,REPUBLICAN,59,433,20210622,TOTAL,0.136258661,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,APACHE,4001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7262,35172,20210622,EARLY VOTE,0.206471057,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,APACHE,4001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4053,35172,20210622,ELECTION DAY,0.115233709,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,APACHE,4001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,127,35172,20210622,PROVISIONAL,0.003610827,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,COCHISE,4003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,25934,60442,20210622,EARLY VOTE,0.429072499,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,COCHISE,4003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7714,60442,20210622,ELECTION DAY,0.127626485,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,COCHISE,4003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1909,60442,20210622,PROVISIONAL,0.031583998,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,COCONINO,4005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,20311,73272,20210622,EARLY VOTE,0.277200022,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,COCONINO,4005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6446,73272,20210622,ELECTION DAY,0.087973578,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,COCONINO,4005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,295,73272,20210622,PROVISIONAL,0.004026095,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,GILA,4007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,15005,27662,20210622,EARLY VOTE,0.542440894,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,GILA,4007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3260,27662,20210622,ELECTION DAY,0.117851204,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,GILA,4007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,112,27662,20210622,PROVISIONAL,0.004048876,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,GRAHAM,4009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7289,14995,20210622,EARLY VOTE,0.486095365,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,GRAHAM,4009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3314,14995,20210622,ELECTION DAY,0.221007002,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,GRAHAM,4009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,146,14995,20210622,PROVISIONAL,0.009736579,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,GREENLEE,4011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1571,3685,20210622,EARLY VOTE,0.426322931,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,GREENLEE,4011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,840,3685,20210622,ELECTION DAY,0.227951153,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,GREENLEE,4011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,22,3685,20210622,PROVISIONAL,0.005970149,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,LA PAZ,4012,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2936,7458,20210622,EARLY VOTE,0.393671226,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,LA PAZ,4012,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1606,7458,20210622,ELECTION DAY,0.215339233,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,LA PAZ,4012,PRESIDENT,DONALD J TRUMP,REPUBLICAN,587,7458,20210622,PROVISIONAL,0.078707428,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,MARICOPA,4013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,889400,2068144,20210622,EARLY VOTE,0.430047424,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,MARICOPA,4013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,103086,2068144,20210622,ELECTION DAY,0.049844692,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,MARICOPA,4013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3179,2068144,20210622,PROVISIONAL,0.001537127,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,MOHAVE,4015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,56914,104668,20210622,EARLY VOTE,0.543757404,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,MOHAVE,4015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,20938,104668,20210622,ELECTION DAY,0.200042038,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,MOHAVE,4015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,683,104668,20210622,PROVISIONAL,0.006525395,REPUBLICAN,1,0,0,#N/A,0
2020,ARIZONA,AZ,NAVAJO,4017,PRESIDENT,DONALD J TRUMP,REPUBLICAN,18787,51767,20210622,EARLY VOTE,0.362914598,REPUBLICAN,1,0,0,#N/A,0
